YEAR;MO;DY;HR;T2M
2018;2;5;4;-3.32
2018;2;5;5;-3.41
2018;2;5;6;-3.52
2018;2;5;7;-2.92
2018;2;5;8;-1.34
2018;2;5;9;0.74
2018;2;5;10;2.44
2018;2;5;11;3.45
2018;2;5;12;3.99
2018;2;5;13;3.93
2018;2;5;14;3.22
2018;2;5;15;1.62
2018;2;5;16;-1.07
2018;2;5;17;-2.64
2018;2;5;18;-3.27
2018;2;5;19;-3.56
2018;2;5;20;-3.6
2018;2;5;21;-3.53
2018;2;5;22;-3.52
2018;2;5;23;-3.32
2018;2;6;0;-3.15
2018;2;6;1;-3.02
2018;2;6;2;-2.82
2018;2;6;3;-2.39
2018;2;6;4;-2.35
2018;2;6;5;-2.7
2018;2;6;6;-3.24
2018;2;6;7;-1.85
2018;2;6;8;1.07
2018;2;6;9;3.48
2018;2;6;10;4.93
2018;2;6;11;5.81
2018;2;6;12;6.33
2018;2;6;13;6.47
2018;2;6;14;5.67
2018;2;6;15;3.69
2018;2;6;16;1.78
2018;2;6;17;0.28
2018;2;6;18;-0.45
2018;2;6;19;-0.85
2018;2;6;20;-0.57
2018;2;6;21;-0.37
2018;2;6;22;-0.16
2018;2;6;23;-0.08
2018;2;7;0;-0.31
2018;2;7;1;0.5
2018;2;7;2;1.12
2018;2;7;3;1.18
2018;2;7;4;1.01
2018;2;7;5;1.16
2018;2;7;6;1.48
2018;2;7;7;2.42
2018;2;7;8;4.02
2018;2;7;9;5.74
2018;2;7;10;7.33
2018;2;7;11;8.08
2018;2;7;12;8.19
2018;2;7;13;7.9
2018;2;7;14;7.14
2018;2;7;15;5.98
2018;2;7;16;4.24
2018;2;7;17;3.39
2018;2;7;18;3.5
2018;2;7;19;2.98
2018;2;7;20;2.49
2018;2;7;21;1.83
2018;2;7;22;1.77
2018;2;7;23;1.58
2018;2;8;0;1.11
2018;2;8;1;1.07
2018;2;8;2;0.94
2018;2;8;3;0.87
2018;2;8;4;0.47
2018;2;8;5;0.46
2018;2;8;6;0.83
2018;2;8;7;1.33
2018;2;8;8;1.96
2018;2;8;9;2.08
2018;2;8;10;2.23
2018;2;8;11;3.07
2018;2;8;12;4.19
2018;2;8;13;4.62
2018;2;8;14;4.26
2018;2;8;15;3.32
2018;2;8;16;1.09
2018;2;8;17;-0.89
2018;2;8;18;-1.66
2018;2;8;19;-1.94
2018;2;8;20;-2.47
2018;2;8;21;-3.09
2018;2;8;22;-3.42
2018;2;8;23;-3.56
2018;2;9;0;-3.51
2018;2;9;1;-3.44
2018;2;9;2;-3.42
2018;2;9;3;-3.45
2018;2;9;4;-3.52
2018;2;9;5;-3.59
2018;2;9;6;-3.52
2018;2;9;7;-2.38
2018;2;9;8;-0.38
2018;2;9;9;2.3
2018;2;9;10;4.57
2018;2;9;11;5.73
2018;2;9;12;6.39
2018;2;9;13;6.49
2018;2;9;14;6.04
2018;2;9;15;4.76
2018;2;9;16;1.31
2018;2;9;17;-0.77
2018;2;9;18;-1.46
2018;2;9;19;-2.05
2018;2;9;20;-2.52
2018;2;9;21;-2.52
2018;2;9;22;-2.33
2018;2;9;23;-2.03
2018;2;10;0;-2.11
2018;2;10;1;-2.64
2018;2;10;2;-3.35
2018;2;10;3;-3.44
2018;2;10;4;-3.67
2018;2;10;5;-3.61
2018;2;10;6;-3.06
2018;2;10;7;-1.8
2018;2;10;8;0
2018;2;10;9;1.78
2018;2;10;10;2.94
2018;2;10;11;3.05
2018;2;10;12;2.38
2018;2;10;13;1.53
2018;2;10;14;0.52
2018;2;10;15;-0.51
2018;2;10;16;-1.38
2018;2;10;17;-1.92
2018;2;10;18;-2.29
2018;2;10;19;-2.58
2018;2;10;20;-2.83
2018;2;10;21;-3.07
2018;2;10;22;-3.2
2018;2;10;23;-3.21
2018;2;11;0;-3.24
2018;2;11;1;-3.26
2018;2;11;2;-3.29
2018;2;11;3;-3.34
2018;2;11;4;-3.42
2018;2;11;5;-3.48
2018;2;11;6;-3.49
2018;2;11;7;-3.42
2018;2;11;8;-3.09
2018;2;11;9;-2.55
2018;2;11;10;-1.9
2018;2;11;11;-1.26
2018;2;11;12;-0.87
2018;2;11;13;-0.85
2018;2;11;14;-1.1
2018;2;11;15;-1.49
2018;2;11;16;-2.08
2018;2;11;17;-2.86
2018;2;11;18;-3.3
2018;2;11;19;-3.7
2018;2;11;20;-4.01
2018;2;11;21;-4.39
2018;2;11;22;-4.6
2018;2;11;23;-4.69
2018;2;12;0;-4.72
2018;2;12;1;-4.73
2018;2;12;2;-4.76
2018;2;12;3;-4.77
2018;2;12;4;-4.8
2018;2;12;5;-4.86
2018;2;12;6;-4.97
2018;2;12;7;-3.28
2018;2;12;8;-0.32
2018;2;12;9;1.87
2018;2;12;10;3.36
2018;2;12;11;4.33
2018;2;12;12;4.83
2018;2;12;13;4.78
2018;2;12;14;4.27
2018;2;12;15;3.08
2018;2;12;16;1.51
2018;2;12;17;0.19
2018;2;12;18;-0.67
2018;2;12;19;-1.12
2018;2;12;20;-1.38
2018;2;12;21;-1.67
2018;2;12;22;-1.6
2018;2;12;23;-1.51
2018;2;13;0;-1.58
2018;2;13;1;-1.6
2018;2;13;2;-1.56
2018;2;13;3;-1.62
2018;2;13;4;-1.69
2018;2;13;5;-1.67
